"id","hip","hd","hr","gl","bf","proper","ra","dec","dist","pmra","pmdec","rv","mag","absmag","spect","ci","x","y","z","vx","vy","vz","rarad","decrad","pmrarad","pmdecrad","bayer","flam","con","comp","comp_primary","base","lum","var","var_min","var_max"
21368,21421,29139,1457,Gl 171.1A,"87Alp Tau",アルデバラン,4.598677,16.509301,20.4332,62.78,-189.36,54.5,0.87,-0.682,K5III,1.538,7.02722,18.287604,5.806661,0.00001528,0.00005709,-0.00000214,1.2039308112027507,0.2881416661221312,0.0000003043660287,-0.000000918043185,Alp,"87",Tau,1,21368,Gl 171.1,163.23000728189953,Alp,0.888,0.858
24378,24436,34085,1713,"","19Bet Ori",リゲル,5.242298,-8.20164,264.5503,1.87,-0.56,21.0,0.18,-6.933,B8Ia,-0.03,51.601106,256.709905,-37.740051,0.00000182,0.00002121,-0.00000377,1.3724303693276385,-0.143145630755865,0.0000000090660158,-0.000000002714956,Bet,"19",Ori,1,24378,"",51665.42425669497,"",,
24549,24608,34029,1708,Gl 194A,"13Alp Aur",カペラ,5.27815,45.997991,13.1234,75.52,-427.13,22.2,0.08,-0.51,M1: comp,0.795,1.712633,8.954439,9.440007,0.00000192,0.00003559,-0.00000254,1.381816412648801,0.8028163926341112,0.0000003661312916,-0.000002070784673,Alp,"13",Aur,1,24549,Gl 194,139.3156802945302,"",,
27919,27989,39801,2061,"","58Alp Ori",ベテルギウス,5.919529,7.407063,152.6718,27.33,10.86,21.0,0.45,-5.469,M2Ib,1.5,3.189296,151.364387,19.682142,-0.0000198,0.00002068,0.00001074,1.5497291183713153,0.12927763169419373,0.0000001324995789,0.000000052650765,Alp,"58",Ori,1,27919,"",13415.28798266127,Alp,0.571,0.281
30365,30438,45348,2326,"",Alp Car,カノープス,6.399195,-52.69566,94.7867,19.99,23.67,21.0,-0.62,-5.504,F0Ib,0.164,-5.992679,57.132034,-75.396105,-0.0000114,0.00002059,-0.00001049,1.6753053519997292,-0.9197127748902675,0.0000000969142547,0.000000114755398,Alp,"",Car,1,30365,"",13854.791675667215,"",-0.547,-0.667
32263,32349,48915,2491,Gl 244A,"9Alp CMa",シリウス,6.752481,-16.716116,2.6371,-546.01,-1223.08,-9.4,-1.44,1.454,A0m...,0.009,-0.494323,2.476731,-0.758485,0.00000953,-0.00001207,-0.00001221,1.7677953696021995,-0.291751258517685,-0.0000026471311772,-0.000005929659164,Alp,"9",CMa,1,32263,Gl 244,22.824433121735034,"",-1.333,-1.523
3413,3419,4128,188,Gl 31,"16Bet Cet",ディフダ,0.72649,-17.986605,29.5334,232.79,32.71,13.3,2.04,-0.312,K0III,1.019,27.583638,5.310463,-9.119792,0.00000782,0.00003545,0.00000025,0.19019464223046095,-0.31392547040265245,0.000001128597767,0.000000158582554,Bet,"16",Cet,1,3413,"",116.09138701261821,"",,
37173,37279,61421,2943,Gl 280A,"10Alp CMi",プロキオン,7.655033,5.224993,3.5142,-716.57,-1034.58,-4.0,0.4,2.671,F5IV-V,0.432,-1.469312,3.17617,0.320024,0.00001212,0.00000289,-0.00001792,2.004083041242831,0.09119333187796,-0.0000034740293908,-0.000005015785376,Alp,"10",CMi,1,37173,Gl 280,7.4404636619191935,"",,
37718,37826,62509,2990,Gl 286,"78Bet Gem",ポルックス,7.755277,28.026199,10.3584,-625.69,-45.95,3.6,1.16,1.084,K0IIIvar,0.991,-4.055465,8.19518,4.867171,0.00002624,0.00001782,-0.00000031,2.0303268874812184,0.4891494417459975,-0.0000030334307179,-0.000000222771886,Bet,"78",Gem,1,37718,"",32.09223768048434,"",,
49528,49669,87901,3982,"","32Alp Leo",レグルス,10.139532,11.967207,24.3132,-249.4,4.91,6.0,1.36,-0.569,B7V,-0.087,-21.018857,11.132218,5.041397,0.00000856,0.00002873,0.00000184,2.654523172153456,0.20886716528807125,-0.0000012091253193,0.000000023804351,Alp,"32",Leo,1,49528,"",147.09570767969763,"",,
